test,phone,ipad
testAddRetainsUnfinishedTagAcrossDetailsDisclosure,passed,passed
testColorFirstTapWithoutPreTapCapture,passed,passed
testColorPickerOpensDirectlyAndClearPreservesParentDraft,passed,passed
testColorWellDeliveredTouchRegion,passed,passed
testColorWellHasSingleAccessibleName,passed,passed
testNativeColorLockDisablesTheWellAndPreservesDraft,failed,failed
testNativeColorRedEditsPreserveOtherChannelsInDraft,failed,passed
testSettingsEditorNativeBackProtectsDirtyDraft,passed,passed
testSettingsTagColorWellReturnsToDraftAndSaves,passed,passed
