test,phone,ipad
testAddRetainsUnfinishedTagAcrossDetailsDisclosure,failed,passed
testColorFirstTapWithoutPreTapCapture,passed,passed
testColorPickerOpensDirectlyAndClearPreservesParentDraft,passed,passed
testColorWellDeliveredTouchRegion,failed,passed
testColorWellHasSingleAccessibleName,passed,passed
testNativeColorLockDisablesTheWellAndPreservesDraft,passed,passed
testNativeColorRedEditsPreserveOtherChannelsInDraft,passed,passed
testSettingsEditorNativeBackProtectsDirtyDraft,passed,passed
testSettingsTagColorWellReturnsToDraftAndSaves,passed,passed
